952$p,100$a,245$a,440$v,260$b,260$c,300$a,082$a,041$h,003,040$c,650$a,365$b,365$c,923$d,923$n,942$c,952$c,952$8,952$e,952$1
ST020562,"Gaonkar, R.S.",Microprocesser Architecture Prog & ApplicationWith The 8085,,PRI,1999,788,621.38,eng,STSCGRANT,STSCGRANT,Civil Engineering,290,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020563,"Gaonkar, R.S.",Microprocesser Architecture Prog & ApplicationWith The 8085,,PRI,1999,788,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,290,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020564,"Ram, B.",Fundamentals of Microprocessor & Microcomputer,,Dhanpat Rai  & Co,2001,-,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,190,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020565,"Ram, B.",Fundamentals of Microprocessor & Microcomputer,,Dhanpat Rai  & Co,2001,-,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,190,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020566,"Hall, D.V",Microprocessor & Interfacing Prog & Hardware,,Mcgraw Hill,2001,624,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,275,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020567,"Hall, D.V",Microprocessor & Interfacing Prog & Hardware,,Mcgraw Hill,2001,624,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,275,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020568,Korth,Database System Concepts,,Mcgrawhill,2002,1064,'004,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,334,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020569,Korth,Database System Concepts,,Mcgrawhill,2002,1064,'004,eng,STSCGRANT,STSCGRANT,Computer Science,334,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020570,"Date , C.J.",Database System,,Pearson Education,2002,938,'004,eng,STSCGRANT,STSCGRANT,Computer Science,325,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020571,"Date , C.J.",Database System,,Pearson Education,2002,938,'004,eng,STSCGRANT,STSCGRANT,Computer Science,325,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020572,Mishra/ Chandrashekar,Theory of Computer Science,,Prentice Hall of India,2001,304,'004,eng,STSCGRANT,STSCGRANT,Computer Science,150,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020573,Mishra/ Chandrashekar,Theory of Computer Science,,Prentice Hall of India,2001,304,'004,eng,STSCGRANT,STSCGRANT,Computer Science,150,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020574,"Sharma , S.D.",Operation Research,,Kedarnath,2003,1206,620.1,eng,STSCGRANT,STSCGRANT,Computer Science,300,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020575,"Sharma , S.D.",Operation Research,,Kedarnath,2003,1206,620.1,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,300,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020576,Tremblay,Discrete Mathematical Structures with application to computer Science,,Mcgraw Hill,2000,606,600,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,250,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020577,Tremblay,Discrete Mathematical Structures with application to computer Science,,Mcgraw Hill,2000,606,600,eng,STSCGRANT,STSCGRANT,Applied Science,250,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020578,Tanenbaum,Computer Network,,Prentice Hall of India,2001,813,'004,eng,STSCGRANT,STSCGRANT,Applied Science,250,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020579,Tanenbaum,Computer Network,,Prentice Hall of India,2001,813,'004,eng,STSCGRANT,STSCGRANT,Computer Science,250,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020580,"Forouzan, B.A.",Data Communication & Networking,,Mcgraw Hill,2002,908,'004,eng,STSCGRANT,STSCGRANT,Computer Science,295,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020581,"Forouzan, B.A.",Data Communication & Networking,,Mcgraw Hill,2002,908,'004,eng,STSCGRANT,STSCGRANT,Computer Science,295,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020582,"Gallager , R.",Data Networks,,Prentice Hall of India,2001,556,'004,eng,STSCGRANT,STSCGRANT,Computer Science,195,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020583,"Gallager , R.",Data Networks,,Prentice Hall of India,2001,556,'004,eng,STSCGRANT,STSCGRANT,Computer Science,195,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020584,"Johnson ,C.",Process Control Instrumentation Technology,,Prentice Hall of India,2001,592,660,eng,STSCGRANT,STSCGRANT,Computer Science,195,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020585,"Johnson ,C.",Process Control Instrumentation Technology,,Prentice Hall of India,2001,592,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,195,INR,14/08/2002,2520,BK,General Section,NFIC,APS,
ST020586,"Bimbhra, P.S.",Generalised Theory of Electrical Machines,,Khanna Publisher,2002,1151,621.3,eng,STSCGRANT,STSCGRANT,Chemical Engineering,170,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020587,"Kuo , B.C.",Automatic Control Systems,,Prentice Hall of India,2001,897,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,295,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020588,"Kuo , B.C.",Automatic Control Systems,,Prentice Hall of India,2001,897,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,295,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020589,"Hayt , W.H.",Engineering Electromagnetics,,Mcgraw Hill,2001,561,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,210,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020590,"Hayt , W.H.",Engineering Electromagnetics,,Mcgraw Hill,2001,561,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,210,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020591,"Jordan , E.C.",Electromagnetic Waves and Radiating systems,,Prentice Hall of India,2001,753,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,195,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020592,"Jordan , E.C.",Electromagnetic Waves and Radiating systems,,Prentice Hall of India,2001,753,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,195,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020593,"Gupta , P.V.",Introductory Course in Electromagnetics Fields,,Dhanpat Rai  & Co,2001,406,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,90,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020594,"Gupta, P.V.",Introductory Course in Electromagnetics Fields,,Dhanpat Rai  & Co,2001,406,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,90,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020595,Gayakwad,Op-AMPS and Linear Integrated Circuits,,Prentice Hall of India,2002,542,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,195,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020596,Gayakwad,Op-AMPS and Linear Integrated Circuits,,Prentice Hall of India,2002,542,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,195,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020597,Millman/Halkins,Electronic Devices and Circuits,,Mcgraw Hill,2000,752,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,210,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020598,Millman/Halkins,Electronic Devices and Circuits,,Mcgraw Hill,2000,752,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,210,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020599,Millman/Halkins,Integrated Electronics,,Mcgraw Hill,2002,910,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,260,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020600,Millman/Halkins,Integrated Electronics,,Mcgraw Hill,2002,910,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,260,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020601,Cooper /Helfrick,Modern Electronic Instrumentation and Measurement Techniques,,Prentice Hall of India,2001,445,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,175,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020602,Cooper /Helfrick,Modern Electronic Instrumentation and Measurement Techniques,,Prentice Hall of India,2001,445,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,175,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020603,Jaw/ Jain,Engineering Chemistry(R.G.P.V.),,Dhanpat Rai  & Co,2002,304,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,95,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020604,Jaw/ Jain,Engineering Chemistry(R.G.P.V.),,Dhanpat Rai  & Co,2002,304,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,95,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020605,"Antoniou, A.",Digital Filters (Analysis Design & Application),,Mcgraw Hill,2001,689,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,250,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020606,"Antoniou, A.",Digital Filters (Analysis Design & Application),,Mcgraw Hill,2001,689,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,250,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020607,Partab H.,Utilization of Electrical Energy,,Dhanpat Rai  & Co,2002,699,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,110,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020608,Partab H.,Utilization of Electrical Energy,,Dhanpat Rai  & Co,2002,699,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,110,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020609,"Arora, K.C.",Total Quality Management,,S K Kataria,2002,1169,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,250,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020610,Ghosh/ Sridhar,0000 to 8085 Introduction to Microprocessor for Engineers and Scientist,,Prentice Hall of India,2002,318,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,225,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020611,Ghosh/ Sridhar,0000 to 8085 Introduction to Microprocessor for Engineers and Scientist,,Prentice Hall of India,2002,318,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,225,INR,14/08/2002,2521,BK,General Section,NFIC,APS,
ST020612,Soni/Gupta,Electrical Circuits Analysis,,Dhanpat Rai  & Co,2001,-,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,155,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020613,Soni/Gupta,Electrical Circuits Analysis,,Dhanpat Rai  & Co,2001,-,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,155,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020614,Sawhney A.K.,A Course in Electrical and Electronic Measurement & Instrumentation,,Dhanpat Rai  & Co,2003,1542,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,260,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020615,Sawhney A.K.,A Course in Electrical and Electronic Measurement & Instrumentation,,Dhanpat Rai  & Co,2003,1542,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,260,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020616,"Ballaney , P.L.",Theory for Machine & Mechanism,,Khanna Publisher,2001,1342,620.1,eng,STSCGRANT,STSCGRANT,Electrical Engineering,275,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020617,"Ballaney , P.L.",Theory for Machine & Mechanism,,Khanna Publisher,2001,1342,620.1,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,275,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020618,"Garg , S.K.",Sewage Disposal and Air Pollution Engineering,,Khanna Publisher,2001,994,624,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,175,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020619,"Garg , S.K.",Water Supply Engineering,,Khanna Publisher,2001,1086,624,eng,STSCGRANT,STSCGRANT,Civil Engineering,175,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020620,"Garg , S.K.",Water Supply Engineering,,Khanna Publisher,2001,1086,624,eng,STSCGRANT,STSCGRANT,Civil Engineering,175,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020621,Srinivasan R.,Harbour Dock & Tunnel Engineering,,Charotor,2001,237,624,eng,STSCGRANT,STSCGRANT,Civil Engineering,60,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020622,Srinivasan R.,Harbour Dock & Tunnel Engineering,,Charotor,2001,237,624,eng,STSCGRANT,STSCGRANT,Civil Engineering,60,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020623,Saxena/ Arora,Railway Engineering,,Dhanpat Rai  & Co,2001,-,624,eng,STSCGRANT,STSCGRANT,Civil Engineering,150,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020624,Saxena/ Arora,Railway Engineering,,Dhanpat Rai  & Co,2001,-,624,eng,STSCGRANT,STSCGRANT,Civil Engineering,150,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020625,"Singh, Prabin",Engineering & General Geology,,S K Kataria,2002,682,624,eng,STSCGRANT,STSCGRANT,Civil Engineering,185,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020626,"Singh, Prabin",Engineering & General Geology,,S K Kataria,2002,682,624,eng,STSCGRANT,STSCGRANT,Civil Engineering,185,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020627,Bhatt N.D.,Machine Drawning,,Charotor,2002,350,620.1,eng,STSCGRANT,STSCGRANT,Civil Engineering,95,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020628,Bhatt N.D.,Machine Drawning,,Charotor,2002,350,620.1,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,95,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020629,Raghavan,Materials Science & Engineering,,P.K.J,2000,434,620.1,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,150,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020630,Raghavan,Materials Science & Engineering,,P.K.J,2000,434,620.1,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,150,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020631,"Gowariker , V.R.",Polymer Science,,New Age International,2001,505,620.1,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,180,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020632,"Gowariker , V.R.",Polymer Science,,New Age International,2001,505,620.1,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,180,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020633,"Choudhary , Roy",Networks and Systems,,New Age International,2001,926,621.38,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,255,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020634,"Choudhary , Roy",Networks and Systems,,New Age International,2001,926,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,255,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020635,"Ryder , J.D.",Netwoks Lines and Fields,,Prentice Hall of India,2001,593,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,150,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020636,"Ryder , J.D.",Netwoks Lines and Fields,,Prentice Hall of India,2001,593,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,150,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020637,Mahajan M.,Industrial Engineering & Production Management,,Dhanpat Rai  & Co,2002,910,620.1,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,185,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020638,Mahajan M.,Industrial Engineering & Production Management,,Dhanpat Rai  & Co,2002,910,620.1,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,185,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020639,Cornell G.,Visual Basic .6,,Mcgraw Hill,2001,932,'004,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,325,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020640,Cornell G.,Visual Basic .6,,Mcgraw Hill,2001,932,'004,eng,STSCGRANT,STSCGRANT,Computer Science,325,INR,21/08/2002,2526,BK,General Section,NFIC,APS,
ST020641,Schildt H.,C++ : the Complete Reference,,Mcgraw Hill,2001,1008,'004,eng,STSCGRANT,STSCGRANT,Computer Science,375,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020642,Schildt H.,C++ : the Complete Reference,,Mcgraw Hill,2001,1008,'004,eng,STSCGRANT,STSCGRANT,Computer Science,375,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020643,Loney/ Koch,Oracle 8i : The Complete Reference,,Mcgraw Hill,2002,1308,'004,eng,STSCGRANT,STSCGRANT,Computer Science,495,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020644,Loney/ Koch,Oracle 8i : The Complete Reference,,Mcgraw Hill,2002,1308,'004,eng,STSCGRANT,STSCGRANT,Computer Science,495,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020645,Techmedia,Teach Yourself Visual Basic .6 in 21 Days,,Tech media,1998,849,'004,eng,STSCGRANT,STSCGRANT,Computer Science,299,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020646,Techmedia,Teach Yourself Visual Basic .6 in 21 Days,,Tech media,1998,849,'004,eng,STSCGRANT,STSCGRANT,Computer Science,299,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020647,"Petroutsos, Evangelos",Mastering Visual Basic .6,,BPB PUBLICATIONS,2002,1285,'004,eng,STSCGRANT,STSCGRANT,Computer Science,480,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020648,"Petroutsos, Evangelos",Mastering Visual Basic .6,,BPB PUBLICATIONS,2002,1285,'004,eng,STSCGRANT,STSCGRANT,Computer Science,480,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020649,Holzner / Iog,Visual Basic .6 Programming Black Book,,Dhanpat Rai  & Co,2002,1095,'004,eng,STSCGRANT,STSCGRANT,Computer Science,450,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020650,Holzner / Iog,Visual Basic .6 Programming Black Book,,Dhanpat Rai  & Co,2002,1095,'004,eng,STSCGRANT,STSCGRANT,Computer Science,450,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020651,Lafore,Turboo C++,,Galgotia,2002,739,'004,eng,STSCGRANT,STSCGRANT,Computer Science,279,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020652,Lafore,Turboo C++,,Galgotia,2002,739,'004,eng,STSCGRANT,STSCGRANT,Computer Science,279,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020653,Mano Morris,Digital Logic and Computer Design,,Prentice Hall of India,2002,612,'004,eng,STSCGRANT,STSCGRANT,Computer Science,195,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020654,Mano Morris,Digital Logic and Computer Design,,Prentice Hall of India,2002,612,'004,eng,STSCGRANT,STSCGRANT,Computer Science,195,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020655,Mano Morris,Digital Design,,Pearson Education,2002,516,'004,eng,STSCGRANT,STSCGRANT,Computer Science,195,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020656,Mano Morris,Digital Design,,Pearson Education,2002,516,'004,eng,STSCGRANT,STSCGRANT,Computer Science,195,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020657,Talbar/Upadhyay,Instrumentation & Measurement,,Dhanpat Rai  & Co,2002,438,621.38,eng,STSCGRANT,STSCGRANT,Computer Science,125,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020658,Talbar/Upadhyay,Instrumentation & Measurement,,Dhanpat Rai  & Co,2002,438,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,125,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020659,"Upadhyay , A.R.",Electronics -I (RGPV),I,Dhanpat Rai  & Co,2002,338,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,96,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020660,"Upadhyay , A.R.",Electronics -I (RGPV),I,Dhanpat Rai  & Co,2002,338,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,96,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020661,Patel R.B.,Expert Data Structures With C,,Khanna Publisher,2000,675,'004,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,295,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020662,Patel R.B.,Expert Data Structures With C,,Khanna Publisher,2000,675,'004,eng,STSCGRANT,STSCGRANT,Computer Science,295,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020663,Das/Mullick,Principles of Digital Communication,,New Age International,2001,645,621.38,eng,STSCGRANT,STSCGRANT,Computer Science,230,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020664,Das/Mullick,Principles of Digital Communication,,New Age International,2001,645,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,230,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020665,"Srinath , L.S.",Reliability Engineering,,EAST-WEST PRESS,2002,255,620.1,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,120,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020666,"Srinath , L.S.",Reliability Engineering,,EAST-WEST PRESS,2002,255,620.1,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,120,INR,21/08/2002,2527,BK,General Section,NFIC,APS,
ST020667,Ullman/Hopcroft,Introduction to Automata Theory Language and Computation,,Pearson Education,2001,521,'004,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,295,INR,09/08/2002,174,BK,General Section,NFIC,UBD,
ST020668,"Sharma , S.D.",Operation Research,,Kedarnath,2002,1204,620.1,eng,STSCGRANT,STSCGRANT,Computer Science,300,INR,09/08/2002,174,BK,General Section,NFIC,UBD,
ST020669,Gupta/Gupta,Concepts of Modern Physics,,Dhanpat Rai  & Co,2000,628,'001.3,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,100,INR,09/08/2002,174,BK,General Section,NFIC,UBD,
ST020670,Subrahmanyam/Brij lal,Optics,,S.chand,2002,718,'001.3,eng,STSCGRANT,STSCGRANT,Humanities,125,INR,09/08/2002,174,BK,General Section,NFIC,UBD,
ST020671,Tanenbaum,Computer Networks,,Prentice Hall of India,2001,813,'004,eng,STSCGRANT,STSCGRANT,Humanities,250,INR,09/08/2002,174,BK,General Section,NFIC,UBD,
ST020672,"Forouzan, B.A.",Data Communication & Networking,,Mcgraw Hill,2002,908,'004,eng,STSCGRANT,STSCGRANT,Computer Science,245,INR,09/08/2002,174,BK,General Section,NFIC,UBD,
ST020673,"Gallager , R.",Data Network 2nd Ed,,Prentice Hall of India,2001,556,'004,eng,STSCGRANT,STSCGRANT,Computer Science,195,INR,09/08/2002,174,BK,General Section,NFIC,UBD,
ST020674,"Johnson ,C.",Process Control Instrumentation Technology,,Prentice Hall of India,2001,592,621.3,eng,STSCGRANT,STSCGRANT,Computer Science,195,INR,09/08/2002,174,BK,General Section,NFIC,UBD,
ST020675,"Bimbhra, P.S.",Generalised Theory of Electrical Machines,,Khanna Publisher,2001,1151,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,165,INR,09/08/2002,174,BK,General Section,NFIC,UBD,
ST020676,Taub/Schilling,Principles of Communication Systems,,Mcgraw Hill,2001,759,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,230,INR,09/08/2002,174,BK,General Section,NFIC,UBD,
ST020677,Oppenheim / Schafer,Discrete Time Signal Processing,,Prentice Hall of India,2001,879,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,275,INR,09/08/2002,174,BK,General Section,NFIC,UBD,
ST020678,"Kuo , B.C.",Automatic Control Systems,,Prentice Hall of India,2001,886,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,295,INR,09/08/2002,174,BK,General Section,NFIC,UBD,
ST020679,"Hayt , W.H.",Engineering Electromagnetics,,Mcgraw Hill,2001,561,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,210,INR,09/08/2002,174,BK,General Section,NFIC,UBD,
ST020680,Punmia B.C,Surveying -I,I,Laxmi Publication,2001,642,624,eng,STSCGRANT,STSCGRANT,Electrical Engineering,150,INR,09/08/2002,185,BK,General Section,NFIC,UBD,
ST020681,Punmia B.C,Surveying -III,III,Laxmi Publication,2001,352,624,eng,STSCGRANT,STSCGRANT,Civil Engineering,80,INR,09/08/2002,185,BK,General Section,NFIC,UBD,
ST020682,Bhatt N.D.,Engineering Drawing,,Charotor,2000,-,620.1,eng,STSCGRANT,STSCGRANT,Civil Engineering,125,INR,09/08/2002,185,BK,General Section,NFIC,UBD,
ST020683,"Rangwala , K.S.",Building Construction,,Charotor,2001,831,624,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,140,INR,09/08/2002,185,BK,General Section,NFIC,UBD,
ST020684,"Khurmi, R.S.",Engineering Mechanics,,S.chand,2002,840,620.1,eng,STSCGRANT,STSCGRANT,Civil Engineering,155,INR,09/08/2002,185,BK,General Section,NFIC,UBD,
ST020685,"Vashishtha , A.R.",Modern Algebra,,Krishna Pub,2002,563/72,600,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,150,INR,09/08/2002,185,BK,General Section,NFIC,UBD,
ST020686,Grewal B.S.,Higher Engineering Mathematics,,Khanna Publisher,2002,1227,600,eng,STSCGRANT,STSCGRANT,Applied Science,225,INR,09/08/2002,185,BK,General Section,NFIC,UBD,
ST020687,Nagrath/Kothari,Modern Power Systems Analysis,,Mcgraw Hill,2000,518,621.3,eng,STSCGRANT,STSCGRANT,Applied Science,185,INR,09/08/2002,185,BK,General Section,NFIC,UBD,
ST020688,Nagrath/Gopal,Control System Engineering,,New Age International,2002,826,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,240,INR,09/08/2002,185,BK,General Section,NFIC,UBD,
ST020689,"Rao, S.S.",Switchgear Protection & Power System,,Khanna Publisher,2001,1691,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,235,INR,09/08/2002,185,BK,General Section,NFIC,UBD,
ST020690,"Rajaraman, V.",Computer Programming in Fortran 77,,Prentice Hall of India,2001,198,'004,eng,STSCGRANT,STSCGRANT,Electrical Engineering,125,INR,09/08/2002,185,BK,General Section,NFIC,UBD,
ST020691,Lathi B.P.,Modern Digital & Analog Communication System,,Oxford,1998,781,621.38,eng,STSCGRANT,STSCGRANT,Computer Science,295,INR,09/08/2002,185,BK,General Section,NFIC,UBD,
ST020692,"Bansal , R.K",Fluid Mechanics & Hydraulics Machine,,Laxmi Publication,2002,1006,620.1,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,295,INR,26/08/2002,199,BK,General Section,NFIC,UBD,
