952$p,100$a,245$a,250$a,260$b,260$c,300$a,082$a,041$h,952$a,952$b,650$a,365$b,365$c,923$d,923$n,942$c,952$c,952$8,952$e,952$1
SC015214,Tanenbaum,Data Structures using C,,Pearson Education,2005,656,004,eng,SCGRANT,SCGRANT,Computer Science,195,INR,10/09/2005,2901,BK,General Section,NFIC,APS,
SC015215,Tanenbaum,Data Structures using C,,Pearson Education,2005,656,004,eng,SCGRANT,SCGRANT,Computer Science,195,INR,10/09/2005,2901,BK,General Section,NFIC,APS,
SC015216,"Kruse, Robert",Data Structures & Program Design in C,,Pearson Education,2004,664,004,eng,SCGRANT,SCGRANT,Computer Science,195,INR,10/09/2005,2901,BK,General Section,NFIC,APS,
SC015217,"Ponniah, Paularg",Data Warehousing Fundamentals,,Wiley Publication,2005,516,004,eng,SCGRANT,SCGRANT,Computer Science,254.1,INR,10/09/2005,2901,BK,General Section,NFIC,APS,
SC015218,"Ponniah, Paularg",Data Warehousing Fundamentals,,Wiley Publication,2005,516,004,eng,SCGRANT,SCGRANT,Computer Science,254.1,INR,10/09/2005,2901,BK,General Section,NFIC,APS,
SC015219,"Aho, Alfred V.",Data Structures and Algorithms,,Pearson Education,2005,433,004,eng,SCGRANT,SCGRANT,Computer Science,275,INR,10/09/2005,2901,BK,General Section,NFIC,APS,
SC015220,"Aho, Alfred V.",Data Structures and Algorithms,,Pearson Education,2005,433,004,eng,SCGRANT,SCGRANT,Computer Science,275,INR,10/09/2005,2901,BK,General Section,NFIC,APS,
SC015221,"Akerekar, Rajendra",Discrete Mathematics,,Pearson Education,2005,319,600,eng,SCGRANT,SCGRANT,Applied Science,150,INR,10/09/2005,2901,BK,General Section,NFIC,APS,
SC015222,"Lehri, Raghbir Singh",Strength of Materials,,S K Kataria,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,310,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015223,"Lehri, Raghbir Singh",Strength of Materials,,S K Kataria,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,310,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015224,"Lehri, Raghbir Singh",Strength of Materials,,S K Kataria,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,310,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015225,"Lehri, Raghbir Singh",Strength of Materials,,S K Kataria,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,310,INR,12/09/2005,2055,Reference,Reference Section,NFIC,Shilpa Books,
SC015226,"Lehri, Raghbir Singh",Strength of Materials,,S K Kataria,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,310,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015227,"Rajput,R.K.",Material Science,,Katson,2005,566,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015228,"Rajput,R.K.",Material Science,,Katson,2005,566,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015229,"Rajput,R.K.",Material Science,,Katson,2005,566,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015230,"Rajput,R.K.",Material Science,,Katson,2005,566,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015231,"Rajput,R.K.",Material Science,,Katson,2005,566,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015232,"Kumar, D.S.",Fluid Mechanics and Fluid Power Engineering,,S K Kataria,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,290,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015233,"Kumar, D.S.",Fluid Mechanics and Fluid Power Engineering,,S K Kataria,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,290,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015234,"Kumar, D.S.",Fluid Mechanics and Fluid Power Engineering,,S K Kataria,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,290,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015235,"Kumar, D.S.",Fluid Mechanics and Fluid Power Engineering,,S K Kataria,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,290,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015236,"Kumar, D.S.",Fluid Mechanics and Fluid Power Engineering,,S K Kataria,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,290,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015237,"Verma, A.P.",Operations Research,,S K Kataria,2005,1180,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015238,"Verma, A.P.",Operations Research,,S K Kataria,2005,1180,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015239,"Verma, A.P.",Operations Research,,S K Kataria,2005,1180,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015240,"Verma, A.P.",Operations Research,,S K Kataria,2005,1180,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015241,"Verma, A.P.",Operations Research,,S K Kataria,2005,1180,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015242,"Verma, A.P.",Production Management,,S K Kataria,2005,278,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,90,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015243,"Verma, A.P.",Production Management,,S K Kataria,2005,278,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,90,INR,12/09/2005,2055,Reference,Reference Section,NFIC,Shilpa Books,
SC015244,"Verma, A.P.",Production Management,,S K Kataria,2005,278,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,90,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015245,"Verma, A.P.",Production Management,,S K Kataria,2005,278,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,90,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015246,"Verma, A.P.",Production Management,,S K Kataria,2005,278,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,90,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015247,"Sharma, S.K.",Industrial Engineering & Operation Management,,S K Kataria,2005,857,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,260,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015248,"Sharma, S.K.",Industrial Engineering & Operation Management,,S K Kataria,2005,857,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,260,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015249,"Sharma, S.K.",Industrial Engineering & Operation Management,,S K Kataria,2005,857,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,260,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015250,"Sharma, S.K.",Industrial Engineering & Operation Management,,S K Kataria,2005,857,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,260,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015251,"Sharma, S.K.",Industrial Engineering & Operation Management,,S K Kataria,2005,857,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,260,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015252,"Ubhi, B.S.",Thermodynamics -I,,S K Kataria,2006,338,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,99,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015253,"Ubhi, B.S.",Thermodynamics -I,,S K Kataria,2006,338,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,99,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015254,"Ubhi, B.S.",Thermodynamics -I,,S K Kataria,2006,338,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,99,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015255,"Ubhi, B.S.",Thermodynamics -I,,S K Kataria,2006,338,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,99,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015256,"Ubhi, B.S.",Thermodynamics -I,,S K Kataria,2006,338,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,99,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015257,"Ubhi, B.S.",Thermodynamics -II,,S K Kataria,2006,322,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,99,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015258,"Ubhi, B.S.",Thermodynamics -II,,S K Kataria,2006,322,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,99,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015259,"Ubhi, B.S.",Thermodynamics -II,,S K Kataria,2006,322,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,99,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015260,"Ubhi, B.S.",Thermodynamics -II,,S K Kataria,2006,322,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,99,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015261,"Ubhi, B.S.",Thermodynamics -II,,S K Kataria,2006,322,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,99,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015262,Singhal R.K.,Automobile Engineering,,S K Kataria,2005,258,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,99,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015263,Singhal R.K.,Automobile Engineering,,S K Kataria,2005,258,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,99,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015264,Singhal R.K.,Automobile Engineering,,S K Kataria,2005,258,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,99,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015265,Singhal R.K.,Automobile Engineering,,S K Kataria,2005,258,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,99,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015266,Singhal R.K.,Automobile Engineering,,S K Kataria,2005,258,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,99,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015267,"Deitel, George",Engineering Design,,Tata McGraw Hill,2000,798,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,963,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015268,"Deitel, George",Engineering Design,,Tata McGraw Hill,2000,798,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,963,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015269,"Sharma,P.C.",Machine Design,,S K Kataria,2006,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,310,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015270,"Sharma,P.C.",Machine Design,,S K Kataria,2006,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,310,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015271,"Sharma,P.C.",Machine Design,,S K Kataria,2006,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,310,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015272,"Sharma,P.C.",Machine Design,,S K Kataria,2006,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,310,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015273,"Sharma,P.C.",Machine Design,,S K Kataria,2006,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,310,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015274,Som/Biswas,Introduction to Fluid Mechanisms and Fluid Machines,,Tata McGraw Hill,2005,712,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,250,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015275,Som/Biswas,Introduction to Fluid Mechanisms and Fluid Machines,,Tata McGraw Hill,2005,712,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,250,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015276,Som/Biswas,Introduction to Fluid Mechanisms and Fluid Machines,,Tata McGraw Hill,2005,712,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,250,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015277,Som/Biswas,Introduction to Fluid Mechanisms and Fluid Machines,,Tata McGraw Hill,2005,712,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,250,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015278,Som/Biswas,Introduction to Fluid Mechanisms and Fluid Machines,,Tata McGraw Hill,2005,712,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,250,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015279,Som/Biswas,Introduction to Fluid Mechanisms and Fluid Machines,,Tata McGraw Hill,2005,712,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,250,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015280,Som/Biswas,Introduction to Fluid Mechanisms and Fluid Machines,,Tata McGraw Hill,2005,712,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,250,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015281,"Agarwal, S.K.",Fluid Mechanics and Machinery,,Tata McGraw Hill,2004,665,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015282,"Agarwal, S.K.",Fluid Mechanics and Machinery,,Tata McGraw Hill,2004,665,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015283,"Agarwal, S.K.",Fluid Mechanics and Machinery,,Tata McGraw Hill,2004,665,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015284,"Agarwal, S.K.",Fluid Mechanics and Machinery,,Tata McGraw Hill,2004,665,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015285,"Agarwal, S.K.",Fluid Mechanics and Machinery,,Tata McGraw Hill,2004,665,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015286,"Rattan, S.S.",Theory of Machines,,Tata McGraw Hill,2004,685,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,210,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015287,"Rattan, S.S.",Theory of Machines,,Tata McGraw Hill,2004,685,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,210,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015288,"Rattan, S.S.",Theory of Machines,,Tata McGraw Hill,2004,685,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,210,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,3
SC015289,"Rattan, S.S.",Theory of Machines,,Tata McGraw Hill,2004,685,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,210,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015290,"Sarkar, B.K.",Theory of Machines,,Tata McGraw Hill,2002,328,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,120,INR,12/09/2005,2055,Reference,Reference Section,NFIC,Shilpa Books,
SC015291,"Sarkar, B.K.",Theory of Machines,,Tata McGraw Hill,2002,328,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,120,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015292,"Sarkar, B.K.",Theory of Machines,,Tata McGraw Hill,2002,328,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,120,INR,12/09/2005,2055,BK,General Section,NFIC,Shilpa Books,
SC015293,"Rao, P.N.",CAD/CAM,,Tata McGraw Hill,2002,569,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,250,INR,12/09/2005,2054,Reference,Reference Section,NFIC,Shilpa Books,
SC015294,Little,Welding and Welding Technology,,Tata McGraw Hill,2005,435,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,210,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015295,Little,Welding and Welding Technology,,Tata McGraw Hill,2005,435,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,210,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015296,Little,Welding and Welding Technology,,Tata McGraw Hill,2005,435,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,210,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015297,Little,Welding and Welding Technology,,Tata McGraw Hill,2005,435,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,210,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015298,Little,Welding and Welding Technology,,Tata McGraw Hill,2005,435,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,210,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015299,"Mittal, R.K.",Robotics and Control,,Tata McGraw Hill,2005,455,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,235,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,3
SC015300,"Mittal, R.K.",Robotics and Control,,Tata McGraw Hill,2005,455,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,235,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015301,"Mittal, R.K.",Robotics and Control,,Tata McGraw Hill,2005,455,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,235,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015302,"Mittal, R.K.",Robotics and Control,,Tata McGraw Hill,2005,455,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,235,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015303,"Mittal, R.K.",Robotics and Control,,Tata McGraw Hill,2005,455,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,235,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015304,"Mehta,N.K.",Machine Tool Decision and Numerical Control,,Tata McGraw Hill,2005,505,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,215,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015305,"Mehta,N.K.",Machine Tool Decision and Numerical Control,,Tata McGraw Hill,2005,505,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,215,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015306,"Mehta,N.K.",Machine Tool Decision and Numerical Control,,Tata McGraw Hill,2005,505,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,215,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015307,"Mehta,N.K.",Machine Tool Decision and Numerical Control,,Tata McGraw Hill,2005,505,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,215,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015308,"Mehta,N.K.",Machine Tool Decision and Numerical Control,,Tata McGraw Hill,2005,505,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,215,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015309,"Buffa, Elward S.",Modern Production Operation Management,,Wiley Publication,2002,834,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,345,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015310,"Herbaty, Frank",Handbook of Maintenance Manageement,,Crest Publication,2004,417,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,1275,INR,12/09/2005,2054,Reference,Reference Section,NFIC,Shilpa Books,
SC015311,"Arora, K.C.",ISO 9000 to OHAS 18001,,S K Kataria,2004,1125,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,495,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015312,"Arora, K.C.",ISO 9000 to OHAS 18001,,S K Kataria,2004,1125,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,495,INR,12/09/2005,2054,Reference,Reference Section,NFIC,Shilpa Books,
SC015313,"Kumar, D.S.",Heat and Mass Transfer,,S K Kataria,2005,1535,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,220,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015314,"Kumar, D.S.",Heat and Mass Transfer,,S K Kataria,2005,1535,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,220,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015315,"Kumar, D.S.",Heat and Mass Transfer,,S K Kataria,2005,1535,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,220,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015316,"Kumar, D.S.",Heat and Mass Transfer,,S K Kataria,2005,1535,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,220,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015317,"Kumar, D.S.",Heat and Mass Transfer,,S K Kataria,2005,1535,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,220,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015318,"Kumar, D.S.",Heat and Mass Transfer,,S K Kataria,2005,1535,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,220,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015319,"Kumar, D.S.",Heat and Mass Transfer,,S K Kataria,2005,1535,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,220,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015320,"Kumar, D.S.",Heat and Mass Transfer,,S K Kataria,2005,1535,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,220,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015321,"Arora, K.C.",Total Quality Management,,S K Kataria,2005,469,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015322,"Arora, K.C.",Total Quality Management,,S K Kataria,2005,469,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015323,"Arora, K.C.",Total Quality Management,,S K Kataria,2005,469,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015324,"Arora, K.C.",Total Quality Management,,S K Kataria,2005,469,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015325,"Arora, K.C.",Total Quality Management,,S K Kataria,2005,469,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015326,"Chakrabarti, M.",Strength of Materials,,S K Kataria,2005,953,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015327,"Chakrabarti, M.",Strength of Materials,,S K Kataria,2005,953,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015328,"Chakrabarti, M.",Strength of Materials,,S K Kataria,2005,953,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015329,"Chakrabarti, M.",Strength of Materials,,S K Kataria,2005,953,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015330,"Chakrabarti, M.",Strength of Materials,,S K Kataria,2005,953,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015331,"Dutta, A.K.",Material Management,,Prentice Hall of India,2005,404,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015332,"Dutta, A.K.",Material Management,,Prentice Hall of India,2005,404,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015333,"Dutta, A.K.",Material Management,,Prentice Hall of India,2005,404,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015334,"Dutta, A.K.",Material Management,,Prentice Hall of India,2005,404,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015335,"Dutta, A.K.",Material Management,,Prentice Hall of India,2005,404,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015336,"Mukhopadhyay, S..K.",Production Planning and Control,,Prentice Hall of India,2004,311,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015337,"Mukhopadhyay, S..K.",Production Planning and Control,,Prentice Hall of India,2004,311,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015338,"Mukhopadhyay, S..K.",Production Planning and Control,,Prentice Hall of India,2004,311,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015339,"Mukhopadhyay, S..K.",Production Planning and Control,,Prentice Hall of India,2004,311,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015340,"Mukhopadhyay, S..K.",Production Planning and Control,,Prentice Hall of India,2004,311,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
SC015341,"Narsimhan, S.L.",Production Planning and Inventory Control,,Prentice Hall of India,2004,716,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,375,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,3
SC015342,"Narsimhan, S.L.",Production Planning and Inventory Control,,Prentice Hall of India,2004,716,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,375,INR,12/09/2005,2054,BK,General Section,NFIC,Shilpa Books,
